Year,Measurement_Region,January_Average_Temperature,February_Average_Temperature,March_Average_Temperature,April_Average_Temperature,May_Average_Temperature,June_Average_Temperature,July_Average_Temperature,August_Average_Temperature,September_Average_Temperature,October_Average_Temperature,November_Average_Temperature,December_Average_Temperature,January_December_Average_Temperature,December_November_Average_Temperature,Seasonal_Temperature_December_January_February,Seasonal_Temperature_March_April_May,Seasonal_Temperature_June_July_August,Seasonal_Temperature_September_October_November
2014,Global Land,0.96,0.66,0.78,0.89,1.04,0.78,0.73,0.85,1.09,1,0.81,0.99,0.88,0.87,0.82,0.9,0.78,0.97
2014,Northern Hemisphere Land,1.3,0.98,1.44,1.39,1.15,1,0.95,0.96,0.93,1.17,1.02,1.43,1.14,1.11,1.1,1.32,0.97,1.04
2014,Southern Hemisphere Land,0.67,0.37,0.18,0.42,0.94,0.57,0.5,0.74,1.23,0.85,0.6,0.6,0.64,0.65,0.57,0.51,0.61,0.89
2013,Global Land & Ocean,0.67,0.55,0.67,0.53,0.58,0.65,0.58,0.66,0.77,0.68,0.79,0.66,0.65,0.64,0.58,0.59,0.63,0.74
2013,Northern Hemisphere Land & Ocean,0.8,0.66,0.81,0.66,0.76,0.73,0.68,0.68,0.69,0.82,1.05,0.79,0.76,0.74,0.64,0.74,0.7,0.86
2013,Southern Hemisphere Land & Ocean,0.54,0.45,0.52,0.39,0.4,0.57,0.47,0.64,0.83,0.53,0.52,0.52,0.53,0.54,0.52,0.44,0.56,0.63
2013,Global Land,0.98,0.75,0.86,0.66,0.65,0.87,0.66,0.79,1.01,0.86,0.89,0.84,0.82,0.81,0.82,0.72,0.77,0.92
2013,Northern Hemisphere Land,1.16,0.95,1.11,0.86,0.92,0.95,0.84,0.81,0.81,1.03,1.2,1.01,0.97,0.94,0.92,0.96,0.87,1.01
2013,Southern Hemisphere Land,0.81,0.54,0.61,0.48,0.4,0.8,0.49,0.77,1.19,0.69,0.61,0.67,0.67,0.68,0.72,0.5,0.69,0.83
2012,Global Land & Ocean,0.45,0.48,0.56,0.68,0.74,0.63,0.54,0.61,0.72,0.75,0.74,0.53,0.62,0.62,0.49,0.66,0.59,0.74
2012,Northern Hemisphere Land & Ocean,0.63,0.56,0.69,1.02,0.92,0.88,0.8,0.7,0.84,0.85,0.91,0.48,0.77,0.8,0.65,0.87,0.79,0.87
2012,Southern Hemisphere Land & Ocean,0.28,0.38,0.43,0.33,0.57,0.38,0.29,0.53,0.6,0.66,0.57,0.58,0.47,0.44,0.32,0.44,0.4,0.61
2012,Global Land,0.62,0.58,0.71,0.79,0.93,0.72,0.57,0.85,0.89,0.93,0.95,0.73,0.77,0.78,0.67,0.81,0.72,0.92
2012,Northern Hemisphere Land,0.79,0.75,0.98,1.35,1.24,1.16,0.99,0.95,1.05,1.09,1.15,0.63,1.01,1.05,0.87,1.19,1.03,1.1
2012,Southern Hemisphere Land,0.46,0.41,0.46,0.27,0.65,0.31,0.19,0.77,0.74,0.78,0.76,0.79,0.55,0.53,0.49,0.46,0.42,0.76
2011,Global Land & Ocean,0.49,0.51,0.63,0.62,0.5,0.57,0.71,0.71,0.54,0.64,0.56,0.53,0.59,0.58,0.49,0.58,0.66,0.58
2011,Northern Hemisphere Land & Ocean,0.56,0.61,0.87,0.8,0.63,0.73,0.7,0.67,0.69,0.88,0.63,0.77,0.71,0.69,0.57,0.77,0.7,0.73
2011,Southern Hemisphere Land & Ocean,0.42,0.41,0.38,0.44,0.38,0.41,0.72,0.74,0.4,0.39,0.48,0.3,0.46,0.46,0.41,0.4,0.62,0.43
2011,Global Land,0.73,0.69,0.78,0.83,0.64,0.72,0.9,0.96,0.78,0.84,0.79,0.81,0.79,0.78,0.71,0.75,0.86,0.8
2011,Northern Hemisphere Land,0.79,0.86,1.17,1.13,0.85,0.97,0.93,0.89,0.99,1.19,0.84,1.07,0.97,0.96,0.84,1.05,0.93,1.01
2011,Southern Hemisphere Land,0.69,0.52,0.43,0.55,0.44,0.49,0.88,1.02,0.58,0.53,0.74,0.59,0.62,0.62,0.59,0.47,0.8,0.62
2010,Global Land & Ocean,0.74,0.8,0.92,0.85,0.73,0.63,0.6,0.63,0.59,0.69,0.78,0.47,0.7,0.72,0.73,0.83,0.62,0.69
2010,Northern Hemisphere Land & Ocean,0.79,0.9,1.12,1.14,0.91,0.79,0.84,0.81,0.64,0.88,1.16,0.55,0.88,0.89,0.79,1.06,0.81,0.89
2010,Southern Hemisphere Land & Ocean,0.69,0.7,0.73,0.56,0.56,0.47,0.36,0.46,0.54,0.51,0.4,0.38,0.53,0.55,0.68,0.61,0.43,0.48
2010,Global Land,0.98,1.06,1.13,1,0.97,0.86,0.74,0.83,0.86,0.95,1.02,0.71,0.93,0.93,0.94,1.03,0.81,0.94
2010,Northern Hemisphere Land,1.1,1.25,1.45,1.47,1.21,1.08,1.08,1.1,0.93,1.23,1.52,0.86,1.19,1.2,1.1,1.38,1.08,1.23
2010,Southern Hemisphere Land,0.85,0.85,0.82,0.55,0.72,0.65,0.45,0.59,0.81,0.71,0.56,0.56,0.68,0.68,0.77,0.7,0.56,0.69
2009,Global Land & Ocean,0.61,0.51,0.52,0.59,0.65,0.65,0.71,0.66,0.69,0.64,0.77,0.66,0.64,0.63,0.55,0.59,0.67,0.7
2009,Northern Hemisphere Land & Ocean,0.79,0.68,0.57,0.68,0.65,0.69,0.65,0.7,0.8,0.77,0.81,0.69,0.71,0.7,0.71,0.63,0.68,0.79
2009,Southern Hemisphere Land & Ocean,0.43,0.33,0.47,0.51,0.65,0.63,0.77,0.63,0.59,0.53,0.73,0.64,0.57,0.55,0.39,0.54,0.67,0.61
2009,Global Land,0.75,0.75,0.66,0.75,0.84,0.81,0.88,0.85,0.91,0.73,0.84,0.78,0.8,0.79,0.74,0.75,0.85,0.83
2009,Northern Hemisphere Land,0.94,0.98,0.75,0.9,0.92,0.85,0.75,0.85,1,0.92,0.99,0.95,0.9,0.9,0.94,0.85,0.82,0.97
2009,Southern Hemisphere Land,0.58,0.52,0.58,0.61,0.76,0.77,0.98,0.85,0.82,0.54,0.71,0.61,0.69,0.69,0.55,0.65,0.86,0.69
2008,Global Land & Ocean,0.23,0.35,0.73,0.52,0.47,0.46,0.59,0.44,0.63,0.63,0.65,0.53,0.52,0.51,0.35,0.57,0.49,0.64
2008,Northern Hemisphere Land & Ocean,0.22,0.52,1.1,0.62,0.57,0.61,0.57,0.59,0.58,0.84,0.93,0.66,0.65,0.66,0.48,0.76,0.59,0.78
2008,Southern Hemisphere Land & Ocean,0.24,0.16,0.36,0.41,0.37,0.31,0.61,0.3,0.68,0.43,0.39,0.4,0.39,0.37,0.21,0.38,0.4,0.5
2008,Global Land,0.48,0.46,0.9,0.67,0.56,0.51,0.74,0.4,0.82,0.73,0.81,0.73,0.65,0.65,0.55,0.71,0.55,0.79
2008,Northern Hemisphere Land,0.42,0.71,1.43,0.88,0.81,0.79,0.7,0.68,0.69,0.91,1.07,0.91,0.83,0.85,0.73,1.04,0.72,0.89
2008,Southern Hemisphere Land,0.54,0.23,0.41,0.47,0.32,0.24,0.78,0.15,0.93,0.56,0.58,0.56,0.48,0.47,0.38,0.4,0.39,0.69
2007,Global Land & Ocean,0.95,0.7,0.69,0.74,0.66,0.58,0.6,0.58,0.6,0.58,0.55,0.47,0.64,0.67,0.8,0.7,0.59,0.58
2007,Northern Hemisphere Land & Ocean,1.32,0.92,0.92,1.05,0.69,0.64,0.63,0.7,0.67,0.83,0.78,0.72,0.82,0.85,1.11,0.89,0.66,0.76
2007,Southern Hemisphere Land & Ocean,0.56,0.48,0.46,0.42,0.63,0.53,0.57,0.45,0.54,0.33,0.33,0.21,0.46,0.47,0.48,0.5,0.52,0.4
2007,Global Land,1.22,0.94,0.92,0.94,0.95,0.66,0.79,0.85,0.81,0.81,0.73,0.71,0.86,0.88,1.02,0.94,0.77,0.79
2007,Northern Hemisphere Land,1.74,1.32,1.26,1.38,0.95,0.89,0.87,0.98,0.86,1.12,1.08,1.06,1.13,1.15,1.49,1.2,0.91,1.02
2007,Southern Hemisphere Land,0.76,0.58,0.6,0.53,0.93,0.45,0.7,0.72,0.78,0.53,0.41,0.38,0.62,0.62,0.59,0.69,0.63,0.57
2006,Global Land & Ocean,0.57,0.69,0.62,0.5,0.47,0.64,0.52,0.7,0.62,0.67,0.7,0.74,0.62,0.61,0.64,0.53,0.62,0.66
2006,Northern Hemisphere Land & Ocean,0.65,0.88,0.78,0.61,0.73,0.78,0.67,0.65,0.74,0.96,0.91,1.08,0.79,0.76,0.77,0.71,0.7,0.87
2006,Southern Hemisphere Land & Ocean,0.48,0.48,0.45,0.39,0.22,0.5,0.39,0.74,0.49,0.39,0.49,0.4,0.45,0.46,0.49,0.35,0.54,0.46
2006,Global Land,0.77,0.91,0.8,0.7,0.52,0.77,0.65,0.83,0.73,0.83,0.85,0.9,0.77,0.77,0.86,0.67,0.75,0.8
2006,Northern Hemisphere Land,0.93,1.23,1.09,0.83,0.95,1.05,0.9,0.79,0.88,1.16,1.13,1.4,1.03,1,1.07,0.96,0.91,1.06
2006,Southern Hemisphere Land,0.62,0.6,0.54,0.57,0.13,0.51,0.42,0.86,0.58,0.51,0.59,0.45,0.53,0.56,0.65,0.41,0.6,0.56
2005,Global Land & Ocean,0.7,0.56,0.72,0.68,0.63,0.66,0.64,0.62,0.76,0.76,0.72,0.66,0.68,0.66,0.58,0.68,0.64,0.75
2005,Northern Hemisphere Land & Ocean,0.86,0.65,0.88,0.91,0.78,0.8,0.78,0.71,0.92,0.94,1.02,0.79,0.84,0.81,0.64,0.86,0.76,0.96
2005,Southern Hemisphere Land & Ocean,0.54,0.47,0.55,0.45,0.49,0.52,0.51,0.53,0.59,0.58,0.43,0.52,0.52,0.52,0.53,0.5,0.52,0.53
2005,Global Land,0.96,0.87,0.96,0.84,0.75,0.83,0.8,0.75,0.99,1.01,0.9,0.9,0.88,0.86,0.83,0.85,0.79,0.97
2005,Northern Hemisphere Land,1.14,0.92,1.23,1.22,0.98,1.06,0.99,0.91,1.15,1.22,1.28,1.06,1.1,1.05,0.88,1.14,0.98,1.22
2005,Southern Hemisphere Land,0.82,0.82,0.74,0.49,0.53,0.63,0.64,0.59,0.83,0.81,0.57,0.74,0.68,0.68,0.8,0.59,0.62,0.74
2004,Global Land & Ocean,0.58,0.73,0.64,0.63,0.4,0.43,0.25,0.44,0.51,0.64,0.71,0.49,0.54,0.56,0.68,0.56,0.37,0.62
2004,Northern Hemisphere Land & Ocean,0.69,0.91,0.87,0.74,0.55,0.48,0.49,0.55,0.6,0.76,0.96,0.41,0.67,0.71,0.85,0.72,0.51,0.77
2004,Southern Hemisphere Land & Ocean,0.48,0.54,0.41,0.51,0.25,0.38,0.01,0.34,0.42,0.52,0.47,0.57,0.41,0.41,0.51,0.39,0.25,0.47
2004,Global Land,0.74,0.95,0.85,0.77,0.48,0.66,0.23,0.59,0.59,0.83,0.89,0.66,0.69,0.7,0.85,0.7,0.49,0.77
2004,Northern Hemisphere Land,0.84,1.26,1.28,1.05,0.81,0.67,0.62,0.72,0.71,0.91,1.2,0.57,0.89,0.94,1.11,1.05,0.67,0.94
2004,Southern Hemisphere Land,0.64,0.66,0.44,0.49,0.17,0.63,-0.13,0.45,0.46,0.74,0.59,0.75,0.49,0.48,0.63,0.37,0.32,0.6
2003,Global Land & Ocean,0.73,0.55,0.58,0.54,0.61,0.48,0.54,0.65,0.64,0.74,0.53,0.74,0.61,0.59,0.57,0.58,0.56,0.64
2003,Northern Hemisphere Land & Ocean,0.89,0.5,0.6,0.59,0.71,0.55,0.66,0.84,0.79,0.97,0.66,0.96,0.73,0.69,0.63,0.64,0.69,0.81
2003,Southern Hemisphere Land & Ocean,0.56,0.59,0.55,0.49,0.51,0.41,0.42,0.47,0.5,0.51,0.41,0.51,0.5,0.49,0.52,0.52,0.43,0.47
2003,Global Land,0.92,0.74,0.73,0.69,0.87,0.63,0.65,0.85,0.82,0.85,0.65,0.88,0.77,0.75,0.74,0.76,0.71,0.77
2003,Northern Hemisphere Land,1.23,0.76,0.86,0.86,1,0.73,0.83,1.04,0.93,1.19,0.89,1.22,0.96,0.92,0.91,0.91,0.87,1
2003,Southern Hemisphere Land,0.66,0.71,0.6,0.54,0.75,0.56,0.5,0.67,0.73,0.54,0.41,0.58,0.6,0.59,0.58,0.63,0.58,0.56
2002,Global Land & Ocean,0.75,0.75,0.9,0.57,0.63,0.55,0.61,0.53,0.63,0.55,0.58,0.44,0.62,0.63,0.69,0.7,0.57,0.58
2002,Northern Hemisphere Land & Ocean,0.99,1.07,1.13,0.49,0.5,0.72,0.68,0.53,0.6,0.56,0.77,0.49,0.71,0.73,0.91,0.71,0.64,0.64
2002,Southern Hemisphere Land & Ocean,0.5,0.43,0.67,0.65,0.76,0.39,0.55,0.54,0.65,0.54,0.4,0.4,0.54,0.54,0.46,0.69,0.49,0.53
2002,Global Land,0.97,0.89,1.13,0.8,0.86,0.65,0.84,0.69,0.82,0.64,0.71,0.55,0.8,0.81,0.86,0.93,0.72,0.72
2002,Northern Hemisphere Land,1.41,1.39,1.54,0.78,0.72,0.9,0.96,0.68,0.79,0.71,1,0.75,0.97,0.99,1.25,1.01,0.85,0.83
2002,Southern Hemisphere Land,0.57,0.45,0.77,0.82,0.99,0.42,0.71,0.69,0.83,0.57,0.45,0.37,0.64,0.65,0.51,0.86,0.61,0.62
2001,Global Land & Ocean,0.42,0.44,0.56,0.51,0.57,0.54,0.61,0.48,0.54,0.5,0.7,0.56,0.54,0.51,0.39,0.55,0.54,0.58
2001,Northern Hemisphere Land & Ocean,0.54,0.47,0.76,0.57,0.62,0.55,0.64,0.68,0.55,0.61,0.95,0.67,0.63,0.6,0.43,0.65,0.62,0.7
2001,Southern Hemisphere Land & Ocean,0.31,0.41,0.35,0.44,0.52,0.53,0.57,0.3,0.53,0.4,0.45,0.44,0.44,0.43,0.34,0.44,0.47,0.46
2001,Global Land,0.58,0.62,0.68,0.6,0.73,0.65,0.72,0.63,0.7,0.62,0.8,0.73,0.67,0.65,0.56,0.67,0.67,0.7
2001,Northern Hemisphere Land,0.82,0.73,1.07,0.83,0.86,0.72,0.76,0.9,0.66,0.79,1.16,0.95,0.86,0.82,0.71,0.92,0.79,0.87
2001,Southern Hemisphere Land,0.36,0.51,0.31,0.38,0.6,0.59,0.67,0.38,0.72,0.44,0.47,0.51,0.49,0.48,0.42,0.43,0.55,0.54
2000,Global Land & Ocean,0.24,0.56,0.58,0.57,0.36,0.41,0.39,0.42,0.4,0.28,0.32,0.29,0.4,0.41,0.41,0.5,0.41,0.34
2000,Northern Hemisphere Land & Ocean,0.34,0.87,0.86,0.87,0.56,0.46,0.42,0.49,0.38,0.3,0.19,0.28,0.5,0.54,0.63,0.76,0.45,0.29
2000,Southern Hemisphere Land & Ocean,0.14,0.24,0.28,0.26,0.16,0.35,0.36,0.36,0.43,0.27,0.46,0.3,0.3,0.29,0.18,0.23,0.36,0.38
2000,Global Land,0.3,0.78,0.7,0.75,0.56,0.69,0.63,0.61,0.56,0.36,0.48,0.48,0.57,0.58,0.53,0.67,0.64,0.47
2000,Northern Hemisphere Land,0.51,1.32,1.26,1.18,0.8,0.67,0.55,0.64,0.45,0.41,0.34,0.57,0.72,0.75,0.9,1.08,0.62,0.4
2000,Southern Hemisphere Land,0.1,0.29,0.19,0.34,0.34,0.7,0.69,0.58,0.67,0.32,0.61,0.39,0.44,0.42,0.19,0.29,0.66,0.53
1999,Global Land & Ocean,0.47,0.65,0.34,0.33,0.31,0.36,0.37,0.31,0.4,0.39,0.38,0.43,0.4,0.41,0.56,0.33,0.35,0.39
1999,Northern Hemisphere Land & Ocean,0.58,1,0.31,0.54,0.41,0.36,0.35,0.33,0.39,0.42,0.55,0.7,0.49,0.5,0.77,0.42,0.35,0.45
1999,Southern Hemisphere Land & Ocean,0.36,0.29,0.38,0.12,0.21,0.37,0.4,0.29,0.4,0.35,0.2,0.17,0.3,0.31,0.34,0.24,0.35,0.32
1999,Global Land,0.67,0.86,0.49,0.41,0.49,0.62,0.62,0.54,0.64,0.62,0.57,0.51,0.59,0.61,0.77,0.46,0.59,0.61
1999,Northern Hemisphere Land,0.85,1.24,0.5,0.78,0.58,0.55,0.53,0.5,0.64,0.54,0.8,0.88,0.7,0.71,1.04,0.62,0.53,0.66
1999,Southern Hemisphere Land,0.51,0.49,0.48,0.06,0.41,0.7,0.71,0.59,0.65,0.69,0.36,0.17,0.48,0.51,0.51,0.32,0.67,0.57
1998,Global Land & Ocean,0.6,0.9,0.63,0.63,0.69,0.77,0.68,0.66,0.41,0.44,0.49,0.56,0.62,0.62,0.69,0.65,0.7,0.45
1998,Northern Hemisphere Land & Ocean,0.66,1.06,0.72,0.88,0.65,0.73,0.77,0.73,0.6,0.56,0.58,0.74,0.72,0.71,0.75,0.75,0.74,0.58
1998,Southern Hemisphere Land & Ocean,0.54,0.73,0.55,0.4,0.73,0.8,0.61,0.59,0.24,0.33,0.4,0.36,0.52,0.55,0.65,0.56,0.67,0.32
1998,Global Land,0.72,1.2,0.83,0.83,0.93,1.03,0.92,0.85,0.59,0.68,0.65,0.78,0.83,0.83,0.87,0.86,0.93,0.64
1998,Northern Hemisphere Land,0.86,1.42,1.05,1.26,0.9,0.97,0.98,0.9,0.83,0.75,0.76,1.04,0.98,0.95,0.98,1.07,0.95,0.78
1998,Southern Hemisphere Land,0.59,1.01,0.65,0.44,0.95,1.08,0.87,0.81,0.38,0.61,0.54,0.53,0.7,0.72,0.77,0.68,0.92,0.51
1997,Global Land & Ocean,0.31,0.37,0.53,0.36,0.36,0.54,0.35,0.41,0.53,0.62,0.64,0.59,0.47,0.45,0.36,0.42,0.43,0.6
1997,Northern Hemisphere Land & Ocean,0.37,0.55,0.77,0.51,0.43,0.49,0.43,0.46,0.53,0.66,0.59,0.52,0.53,0.52,0.44,0.57,0.46,0.6
1997,Southern Hemisphere Land & Ocean,0.25,0.19,0.28,0.2,0.3,0.58,0.28,0.38,0.54,0.59,0.71,0.67,0.41,0.39,0.28,0.26,0.41,0.61
1997,Global Land,0.48,0.55,0.66,0.4,0.43,0.67,0.33,0.45,0.49,0.6,0.71,0.69,0.54,0.53,0.52,0.49,0.48,0.6
1997,Northern Hemisphere Land,0.59,0.87,1.13,0.64,0.56,0.55,0.5,0.58,0.62,0.71,0.71,0.67,0.68,0.67,0.7,0.77,0.54,0.68
1997,Southern Hemisphere Land,0.36,0.27,0.23,0.18,0.3,0.79,0.18,0.32,0.37,0.49,0.72,0.73,0.41,0.39,0.36,0.24,0.43,0.52
1996,Global Land & Ocean,0.25,0.48,0.32,0.36,0.27,0.25,0.36,0.48,0.25,0.19,0.41,0.4,0.34,0.32,0.34,0.32,0.36,0.28
1996,Northern Hemisphere Land & Ocean,0.29,0.58,0.29,0.22,0.38,0.25,0.28,0.17,0.06,0.03,0.37,0.39,0.28,0.27,0.39,0.29,0.24,0.15
1996,Southern Hemisphere Land & Ocean,0.21,0.38,0.35,0.5,0.17,0.25,0.43,0.78,0.44,0.34,0.44,0.41,0.39,0.38,0.28,0.34,0.49,0.41
1996,Global Land,0.41,0.61,0.45,0.51,0.35,0.33,0.59,0.76,0.44,0.34,0.51,0.54,0.49,0.48,0.47,0.44,0.56,0.43
1996,Northern Hemisphere Land,0.51,0.8,0.52,0.37,0.54,0.37,0.45,0.27,0.07,0.13,0.52,0.64,0.43,0.41,0.57,0.48,0.37,0.24
1996,Southern Hemisphere Land,0.32,0.43,0.39,0.64,0.18,0.3,0.7,1.22,0.76,0.54,0.51,0.45,0.54,0.53,0.38,0.4,0.74,0.6
1995,Global Land & Ocean,0.5,0.78,0.45,0.47,0.26,0.41,0.47,0.46,0.32,0.47,0.45,0.28,0.44,0.45,0.55,0.4,0.45,0.41
1995,Northern Hemisphere Land & Ocean,0.73,1.15,0.56,0.74,0.4,0.47,0.4,0.55,0.43,0.61,0.56,0.31,0.58,0.58,0.74,0.57,0.47,0.53
1995,Southern Hemisphere Land & Ocean,0.27,0.39,0.34,0.2,0.13,0.35,0.55,0.38,0.23,0.34,0.33,0.25,0.31,0.32,0.35,0.22,0.43,0.3
1995,Global Land,0.57,0.9,0.53,0.59,0.39,0.5,0.64,0.58,0.47,0.68,0.53,0.4,0.56,0.57,0.64,0.5,0.57,0.56
1995,Northern Hemisphere Land,0.97,1.47,0.72,0.95,0.63,0.65,0.58,0.75,0.6,0.89,0.75,0.41,0.78,0.78,0.97,0.77,0.66,0.75
1995,Southern Hemisphere Land,0.23,0.41,0.36,0.27,0.16,0.36,0.7,0.43,0.36,0.48,0.33,0.37,0.37,0.38,0.36,0.26,0.5,0.39
1994,Global Land & Ocean,0.27,0.02,0.27,0.41,0.28,0.43,0.31,0.21,0.3,0.41,0.46,0.36,0.31,0.29,0.15,0.32,0.31,0.39
1994,Northern Hemisphere Land & Ocean,0.36,-0.02,0.43,0.48,0.37,0.42,0.34,0.3,0.29,0.53,0.52,0.33,0.36,0.35,0.18,0.43,0.35,0.45
1994,Southern Hemisphere Land & Ocean,0.18,0.07,0.11,0.33,0.19,0.43,0.27,0.12,0.3,0.29,0.41,0.39,0.26,0.24,0.13,0.21,0.27,0.33
1994,Global Land,0.4,0.09,0.28,0.54,0.29,0.59,0.42,0.27,0.43,0.42,0.52,0.44,0.39,0.37,0.23,0.37,0.42,0.46
1994,Northern Hemisphere Land,0.46,0.06,0.54,0.68,0.52,0.59,0.55,0.45,0.4,0.62,0.62,0.46,0.5,0.48,0.28,0.58,0.53,0.55
1994,Southern Hemisphere Land,0.35,0.11,0.05,0.42,0.08,0.58,0.29,0.11,0.46,0.24,0.42,0.42,0.29,0.27,0.19,0.18,0.33,0.37
1993,Global Land & Ocean,0.37,0.39,0.36,0.27,0.27,0.25,0.28,0.13,0.1,0.22,0.06,0.17,0.24,0.24,0.32,0.3,0.22,0.13
1993,Northern Hemisphere Land & Ocean,0.42,0.53,0.38,0.2,0.3,0.22,0.11,0,-0.07,0.13,-0.16,0.2,0.19,0.19,0.39,0.29,0.11,-0.03
1993,Southern Hemisphere Land & Ocean,0.32,0.24,0.33,0.34,0.26,0.3,0.45,0.26,0.27,0.32,0.29,0.14,0.29,0.3,0.26,0.31,0.33,0.29
1993,Global Land,0.4,0.42,0.34,0.31,0.29,0.28,0.4,0.22,0.1,0.24,0.09,0.2,0.28,0.28,0.36,0.31,0.3,0.15
